"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","sex","state","year"
"63",0,6,0,"Cardiovascular",-0.000610772837951591,-0.000355830863797155,-0.000528540979982331,"Male","Alabama",1974
"64",0,6,0,"Communicable",0.000120770483862839,0.000191550110342289,0.000144715532504367,"Male","Alabama",1974
"65",0,6,0,"Injuries",0.000847809286703342,0.000961104516780698,0.000892553744552291,"Male","Alabama",1974
"66",0,6,0,"Non-communicable",-2.39944489078706e-05,3.15204089656182e-05,-7.23394663835291e-06,"Male","Alabama",1974
"67",0,6,1,"All other causes",0.00103338973642672,0.00112463976169505,0.00106459066930661,"Female","Alabama",1974
"68",0,6,1,"Cancers",0.000122558145530358,0.000187574450245054,0.000146445513734015,"Female","Alabama",1974
"69",0,6,1,"Cardiovascular",0.000571711045549974,0.000783536392114569,0.00064985398242783,"Female","Alabama",1974
"70",0,6,1,"Communicable",4.86279409003265e-05,8.42488432366064e-05,6.01050979903084e-05,"Female","Alabama",1974
"71",0,6,1,"Injuries",8.74626747502284e-05,0.000123369931407215,9.96321735407402e-05,"Female","Alabama",1974
"72",0,6,1,"Non-communicable",0.00030598293448367,0.000352968979163959,0.000323052545286642,"Female","Alabama",1974
"73",0,7,0,"All other causes",0.0015538334121077,0.00168586955700287,0.00159405856969309,"Male","Alabama",1975
"74",0,7,0,"Cancers",0.000117789072204529,0.000231157741263938,0.00015735802724179,"Male","Alabama",1975
"75",0,7,0,"Cardiovascular",-0.00041113787978343,-0.00015279623235853,-0.000329147825234124,"Male","Alabama",1975
"76",0,7,0,"Communicable",0.000121121636990607,0.000194230559138172,0.000146756847074219,"Male","Alabama",1975
"77",0,7,0,"Injuries",0.000850991651173815,0.000946572437586733,0.000882606430372721,"Male","Alabama",1975
"78",0,7,0,"Non-communicable",-2.2956209668432e-05,3.22504036666891e-05,-7.66624781572714e-06,"Male","Alabama",1975
"79",0,7,1,"All other causes",0.00108439539328744,0.00116851817216072,0.00110874639331696,"Female","Alabama",1975
"80",0,7,1,"Cancers",0.000138385796183901,0.000201525827749112,0.000161239178734014,"Female","Alabama",1975
"81",0,7,1,"Cardiovascular",0.000458990321431563,0.000646527084932356,0.000529410839917813,"Female","Alabama",1975
"82",0,7,1,"Communicable",4.04219142701693e-05,7.72304748617989e-05,5.35552672388108e-05,"Female","Alabama",1975
"83",0,7,1,"Injuries",9.26058638692158e-05,0.000127176384874924,0.000104319230842308,"Female","Alabama",1975
"84",0,7,1,"Non-communicable",0.000303212671868108,0.000351783433364593,0.000320239830104848,"Female","Alabama",1975
"85",0,8,0,"All other causes",0.00156384210627878,0.00169434147950452,0.00160568266914686,"Male","Alabama",1976
"86",0,8,0,"Cancers",0.000209516430322865,0.000322983481039918,0.000250060171368715,"Male","Alabama",1976
"87",0,8,0,"Cardiovascular",-0.000435523926421323,-0.000173312183879694,-0.000351188807625227,"Male","Alabama",1976
"88",0,8,0,"Communicable",9.19406736539108e-05,0.000166646536257356,0.000118619957491226,"Male","Alabama",1976
"89",0,8,0,"Injuries",0.000837974198446986,0.000940903114130277,0.00087331357649077,"Male","Alabama",1976
"90",0,8,0,"Non-communicable",-3.02015930925778e-05,2.89023607378579e-05,-1.0727169464107e-05,"Male","Alabama",1976
"91",0,8,1,"All other causes",0.00109458071179305,0.00118750161234532,0.00112443512360166,"Female","Alabama",1976
"92",0,8,1,"Cancers",0.000156810541162767,0.000221288545828123,0.000180080278619832,"Female","Alabama",1976
"93",0,8,1,"Cardiovascular",0.000509866559454199,0.000683469385733604,0.00056269252991055,"Female","Alabama",1976
"94",0,8,1,"Communicable",2.24262170022409e-05,5.76499974992254e-05,3.49831548420574e-05,"Female","Alabama",1976
"95",0,8,1,"Injuries",8.75661605310908e-05,0.000122359699368868,9.95737614924249e-05,"Female","Alabama",1976
"96",0,8,1,"Non-communicable",0.000294408523777327,0.000336234774291801,0.000308252826941132,"Female","Alabama",1976
"97",0,9,0,"All other causes",0.00156316200092343,0.00168974317078999,0.00159888700087114,"Male","Alabama",1977
"98",0,9,0,"Cancers",0.000282463570982479,0.000401448550696358,0.000320737030050168,"Male","Alabama",1977
"99",0,9,0,"Cardiovascular",-0.000313864091154917,-7.03337717172592e-05,-0.000246393365499182,"Male","Alabama",1977
"100",0,9,0,"Communicable",0.000103605392236733,0.000171271001027865,0.000124283024875414,"Male","Alabama",1977
"101",0,9,0,"Injuries",0.000805124158812796,0.000905379450608672,0.000838804743151164,"Male","Alabama",1977
"102",0,9,0,"Non-communicable",-3.98158844291474e-05,2.23400832445841e-05,-1.77049924159008e-05,"Male","Alabama",1977
"103",0,9,1,"All other causes",0.00105646223128446,0.00113939210421339,0.00108141925963099,"Female","Alabama",1977
"104",0,9,1,"Cancers",0.0001722374029971,0.00023918474780484,0.000196252450446446,"Female","Alabama",1977
"105",0,9,1,"Cardiovascular",0.000525104803834585,0.00070593871103959,0.00059217933068245,"Female","Alabama",1977
"106",0,9,1,"Communicable",1.22909834960533e-06,3.50509725998742e-05,1.135962917776e-05,"Female","Alabama",1977
"107",0,9,1,"Injuries",7.56610489365174e-05,0.000109463142192627,8.85062850655387e-05,"Female","Alabama",1977
"108",0,9,1,"Non-communicable",0.000280780515394814,0.000321370128285455,0.000294322562401254,"Female","Alabama",1977
"109",0,10,0,"All other causes",0.00152435378582107,0.00165740764845747,0.00156041817890335,"Male","Alabama",1978
"110",0,10,0,"Cancers",0.000372830997865934,0.000495073878741498,0.000414626066139751,"Male","Alabama",1978
"111",0,10,0,"Cardiovascular",-0.000241236691617317,1.52489502240863e-05,-0.000157440960788809,"Male","Alabama",1978
"112",0,10,0,"Communicable",4.92271985207742e-05,0.000122743471943441,7.51655728869339e-05,"Male","Alabama",1978
"113",0,10,0,"Injuries",0.000743751273443725,0.000833598792066524,0.000772151146585597,"Male","Alabama",1978
"114",0,10,0,"Non-communicable",-2.8615221092742e-05,3.16050114238129e-05,-7.97455464908297e-06,"Male","Alabama",1978
"115",0,10,1,"All other causes",0.000988315802582976,0.00107378786451238,0.00102099153406903,"Female","Alabama",1978
"116",0,10,1,"Cancers",0.000190643410590046,0.000254086849139247,0.00021099537183669,"Female","Alabama",1978
"117",0,10,1,"Cardiovascular",0.000480141540023876,0.000650515443832709,0.00053463929858232,"Female","Alabama",1978
"118",0,10,1,"Communicable",4.67476589839958e-06,3.77857788743035e-05,1.54824193035318e-05,"Female","Alabama",1978
"119",0,10,1,"Injuries",6.95684970219722e-05,0.000101457724464312,7.92671462764985e-05,"Female","Alabama",1978
"120",0,10,1,"Non-communicable",0.00025330104143187,0.000294745845272662,0.000266976548502052,"Female","Alabama",1978
"121",0,11,0,"All other causes",0.00139373601920019,0.00152965691104648,0.00144429506556982,"Male","Alabama",1979
"122",0,11,0,"Cancers",0.000415193681749887,0.00053471666933352,0.000455975811987113,"Male","Alabama",1979
"123",0,11,0,"Cardiovascular",-0.000242770685904268,9.53913111914053e-06,-0.000151569003451408,"Male","Alabama",1979
"124",0,11,0,"Communicable",7.99080210931073e-05,0.000148552169860434,0.000101696372228602,"Male","Alabama",1979
"125",0,11,0,"Injuries",0.000717364741382697,0.000808774838783948,0.000748491359510764,"Male","Alabama",1979
"126",0,11,0,"Non-communicable",-2.43649867046958e-05,3.50413416827516e-05,-3.08222383520362e-06,"Male","Alabama",1979
"127",0,11,1,"All other causes",0.000940185448107697,0.00103180227457894,0.000970345548040858,"Female","Alabama",1979
"128",0,11,1,"Cancers",0.000198818386353868,0.000263055044104303,0.000220386168739072,"Female","Alabama",1979
"129",0,11,1,"Cardiovascular",0.00044905866738341,0.000622846273744935,0.000500839051241098,"Female","Alabama",1979
"130",0,11,1,"Communicable",3.0191615784515e-05,6.1989095137828e-05,3.99846649723634e-05,"Female","Alabama",1979
"131",0,11,1,"Injuries",6.42725004951704e-05,9.5981813252795e-05,7.39250458083502e-05,"Female","Alabama",1979
"132",0,11,1,"Non-communicable",0.000236573593075085,0.000279358298159965,0.000252286731564301,"Female","Alabama",1979
"133",0,12,0,"All other causes",0.00137839026940337,0.00150414474043569,0.00141640942225876,"Male","Alabama",1980
"134",0,12,0,"Cancers",0.000428029556005882,0.000571812608200916,0.000482154617409724,"Male","Alabama",1980
"135",0,12,0,"Cardiovascular",-0.000111900145652125,0.000123045960453398,-3.02373785417654e-05,"Male","Alabama",1980
"136",0,12,0,"Communicable",0.000114274939360472,0.000181989685900927,0.000135777863783277,"Male","Alabama",1980
"137",0,12,0,"Injuries",0.000687644946298534,0.000776741768559573,0.000717223217398842,"Male","Alabama",1980
"138",0,12,0,"Non-communicable",-3.79324100459588e-05,2.87306368317748e-05,-1.51752190212464e-05,"Male","Alabama",1980
"139",0,12,1,"All other causes",0.000879867376180811,0.00097029101812395,0.00091100108952717,"Female","Alabama",1980
"140",0,12,1,"Cancers",0.000179843630533137,0.000244866206099708,0.000201834531407913,"Female","Alabama",1980
"141",0,12,1,"Cardiovascular",0.000563386853044968,0.000733418113350618,0.000621837572939582,"Female","Alabama",1980
"142",0,12,1,"Communicable",3.83159530765448e-05,7.00527912590081e-05,4.7369597880641e-05,"Female","Alabama",1980
"143",0,12,1,"Injuries",6.22738747853647e-05,9.3877733833461e-05,7.28380058237224e-05,"Female","Alabama",1980
"144",0,12,1,"Non-communicable",0.000233546065425477,0.000276214408882285,0.000249089801637217,"Female","Alabama",1980
"145",0,13,0,"All other causes",0.00127506147324125,0.00139791585387857,0.00131782771001772,"Male","Alabama",1981
"146",0,13,0,"Cancers",0.000465307247527377,0.000593245036306842,0.000506775197241065,"Male","Alabama",1981
"147",0,13,0,"Cardiovascular",-0.000169710035348619,8.72321823137076e-05,-8.11869352626626e-05,"Male","Alabama",1981
"148",0,13,0,"Communicable",0.000115767313414051,0.000179795354106894,0.000138387566314536,"Male","Alabama",1981
"149",0,13,0,"Injuries",0.000676935690600329,0.000759427777876583,0.000702325201896723,"Male","Alabama",1981
"150",0,13,0,"Non-communicable",-7.47659472711526e-05,-7.2019699575099e-06,-4.95686831442896e-05,"Male","Alabama",1981
"151",0,13,1,"All other causes",0.000801479791513648,0.000879275376953794,0.000827325355593069,"Female","Alabama",1981
"152",0,13,1,"Cancers",0.000170013464169947,0.000235843058493795,0.000193932391798064,"Female","Alabama",1981
"153",0,13,1,"Cardiovascular",0.000600308045719437,0.000771840091536112,0.000651601257135974,"Female","Alabama",1981
"154",0,13,1,"Communicable",3.45925734299591e-05,6.81807962395082e-05,4.46101052100041e-05,"Female","Alabama",1981
"155",0,13,1,"Injuries",5.1919874762742e-05,8.1872607853224e-05,6.19425008013852e-05,"Female","Alabama",1981
"156",0,13,1,"Non-communicable",0.000211029165633105,0.000254021825007947,0.000222914261826753,"Female","Alabama",1981
"157",0,14,0,"All other causes",0.00113640688128555,0.00125877327952895,0.00116981491688748,"Male","Alabama",1982
"158",0,14,0,"Cancers",0.000517963220996655,0.000647844778520609,0.00056385905024581,"Male","Alabama",1982
"159",0,14,0,"Cardiovascular",8.92353735376419e-05,0.000325877811970845,0.000163177053382014,"Male","Alabama",1982
"160",0,14,0,"Communicable",9.32495586488312e-05,0.000157542055156761,0.000114244468823213,"Male","Alabama",1982
"161",0,14,0,"Injuries",0.000591227356725294,0.00067187079772435,0.00061563088856523,"Male","Alabama",1982
"162",0,14,0,"Non-communicable",-7.83213980371211e-05,-1.16246167913438e-05,-5.68762707885578e-05,"Male","Alabama",1982
"163",0,14,1,"All other causes",0.000717764114208769,0.000795939555042765,0.000745826395644333,"Female","Alabama",1982
"164",0,14,1,"Cancers",0.000163633358039733,0.000224170763857981,0.000184608321499092,"Female","Alabama",1982
"165",0,14,1,"Cardiovascular",0.000658629796919154,0.000815408402422223,0.000709893330741003,"Female","Alabama",1982
"166",0,14,1,"Communicable",3.83882980029247e-05,7.29743078635821e-05,5.13985107864327e-05,"Female","Alabama",1982
"167",0,14,1,"Injuries",4.682580382309e-05,7.78684211095051e-05,5.76893869136473e-05,"Female","Alabama",1982
"168",0,14,1,"Non-communicable",0.000196514225931203,0.000236314722760456,0.000208036247524365,"Female","Alabama",1982
"169",0,15,0,"All other causes",0.00103813224701357,0.00115861094965178,0.00108142440842801,"Male","Alabama",1983
"170",0,15,0,"Cancers",0.00060522235736489,0.000731168760598596,0.000640248969356939,"Male","Alabama",1983
"171",0,15,0,"Cardiovascular",0.000341435011910204,0.000560291839941625,0.000417290438196762,"Male","Alabama",1983
"172",0,15,0,"Communicable",7.84478428871433e-05,0.000146271312357812,9.7447981192973e-05,"Male","Alabama",1983
"173",0,15,0,"Injuries",0.000527985512090459,0.00060860859302691,0.000555078113568068,"Male","Alabama",1983
"174",0,15,0,"Non-communicable",-7.96378095857471e-05,-1.65183169183173e-05,-5.84064926653559e-05,"Male","Alabama",1983
"175",0,15,1,"All other causes",0.000689871277723583,0.000773682668798458,0.000715781070134906,"Female","Alabama",1983
"176",0,15,1,"Cancers",0.000159879550907101,0.000225386308710012,0.000181895389150113,"Female","Alabama",1983
"177",0,15,1,"Cardiovascular",0.000773031153255833,0.000930146033057625,0.000826803765641287,"Female","Alabama",1983
"178",0,15,1,"Communicable",2.5978944996067e-05,6.12210209554814e-05,3.81223378567218e-05,"Female","Alabama",1983
"179",0,15,1,"Injuries",4.45922498243244e-05,7.44395054893737e-05,5.51891110310811e-05,"Female","Alabama",1983
"180",0,15,1,"Non-communicable",0.000191903728841867,0.000235818528494699,0.000207967019793288,"Female","Alabama",1983
"181",0,16,0,"All other causes",0.000964596339907954,0.00107490890463179,0.00100353830149545,"Male","Alabama",1984
"182",0,16,0,"Cancers",0.000616575221003501,0.000745606240407153,0.000660365352592723,"Male","Alabama",1984
"183",0,16,0,"Cardiovascular",0.000523730199966309,0.000763199270101861,0.00060783301579266,"Male","Alabama",1984
"184",0,16,0,"Communicable",7.87480236323395e-05,0.000143087457799271,9.91958150993591e-05,"Male","Alabama",1984
"185",0,16,0,"Injuries",0.000497646938327803,0.00057555528067272,0.000523458703853984,"Male","Alabama",1984
"186",0,16,0,"Non-communicable",-7.37351295276454e-05,-8.4646472497755e-06,-5.19709241915333e-05,"Male","Alabama",1984
"187",0,16,1,"All other causes",0.000616114744107919,0.000699882948456509,0.000646570539353517,"Female","Alabama",1984
"188",0,16,1,"Cancers",0.000192683955821119,0.000251127848586433,0.000210595651698801,"Female","Alabama",1984
"189",0,16,1,"Cardiovascular",0.000789648728992984,0.00095325366834413,0.000844825868355238,"Female","Alabama",1984
"190",0,16,1,"Communicable",1.49313107158211e-05,5.00144872217376e-05,2.74637727137327e-05,"Female","Alabama",1984
"191",0,16,1,"Injuries",4.18731014281103e-05,6.85877880739276e-05,4.95916257098347e-05,"Female","Alabama",1984
"192",0,16,1,"Non-communicable",0.000186142580677329,0.000229095434627726,0.000200449436779905,"Female","Alabama",1984
"193",0,17,0,"All other causes",0.000839199968106942,0.000956423353017231,0.000887323859056841,"Male","Alabama",1985
"194",0,17,0,"Cancers",0.000570614220651563,0.000708938560662279,0.000611399978605515,"Male","Alabama",1985
"195",0,17,0,"Cardiovascular",0.000676382967953073,0.000910722032022416,0.000751508408803068,"Male","Alabama",1985
"196",0,17,0,"Communicable",7.7210086030804e-05,0.000145937884669856,0.000100399220786018,"Male","Alabama",1985
"197",0,17,0,"Injuries",0.00051223600136443,0.000588226078133289,0.000535894343884017,"Male","Alabama",1985
"198",0,17,0,"Non-communicable",-8.20672070387944e-05,-1.18141886229043e-05,-5.67961697968811e-05,"Male","Alabama",1985
"199",0,17,1,"All other causes",0.000517361063923743,0.000593768872948761,0.000544873003240072,"Female","Alabama",1985
"200",0,17,1,"Cancers",0.000211838591319856,0.00027397817312378,0.000231087670337707,"Female","Alabama",1985
"201",0,17,1,"Cardiovascular",0.000917518836375725,0.00107746713812698,0.000971464267538105,"Female","Alabama",1985
"202",0,17,1,"Communicable",7.71926782764832e-06,4.34766287106758e-05,1.94479341517968e-05,"Female","Alabama",1985
"203",0,17,1,"Injuries",3.68892493465785e-05,6.47290314148531e-05,4.59495592007997e-05,"Female","Alabama",1985
"204",0,17,1,"Non-communicable",0.000181791070194875,0.000229180598485455,0.000200089341008634,"Female","Alabama",1985
"205",0,18,0,"All other causes",0.000817259975126752,0.000926167254362414,0.000854655551998802,"Male","Alabama",1986
"206",0,18,0,"Cancers",0.000528719719053399,0.000663245716093068,0.000572776921428584,"Male","Alabama",1986
"207",0,18,0,"Cardiovascular",0.000716658643261706,0.000932375707605723,0.000788370789261734,"Male","Alabama",1986
"208",0,18,0,"Communicable",8.41860519602255e-05,0.000157462675454464,0.000103186418374327,"Male","Alabama",1986
"209",0,18,0,"Injuries",0.00049807445918266,0.00057258216152123,0.000522972487172961,"Male","Alabama",1986
"210",0,18,0,"Non-communicable",-6.57932146635943e-05,5.15219518936101e-06,-4.04175990749784e-05,"Male","Alabama",1986
"211",0,18,1,"All other causes",0.000458739740537459,0.000530043859418857,0.000484813767449451,"Female","Alabama",1986
"212",0,18,1,"Cancers",0.000223885113428094,0.000290088562236027,0.000245966237854301,"Female","Alabama",1986
"213",0,18,1,"Cardiovascular",0.000968159949931622,0.00112074493068465,0.0010170353871333,"Female","Alabama",1986
"214",0,18,1,"Communicable",2.07653652203718e-05,6.02695359721727e-05,3.39029677287249e-05,"Female","Alabama",1986
"215",0,18,1,"Injuries",2.45342128211763e-05,5.14622869932116e-05,3.23475825182062e-05,"Female","Alabama",1986
"216",0,18,1,"Non-communicable",0.000197742164379804,0.000242741768769108,0.000211142472237903,"Female","Alabama",1986
"217",0,19,0,"All other causes",0.000763575023302337,0.000867496304884448,0.000797570202375654,"Male","Alabama",1987
"218",0,19,0,"Cancers",0.000523382750642264,0.000653845569980972,0.000568454471915873,"Male","Alabama",1987
"219",0,19,0,"Cardiovascular",0.000719353899208105,0.000935334238891629,0.000785825991255685,"Male","Alabama",1987
"220",0,19,0,"Communicable",0.000140008931620438,0.00021129125735517,0.000162146121799993,"Male","Alabama",1987
"221",0,19,0,"Injuries",0.000519026659482188,0.000597075763876232,0.000546269050900652,"Male","Alabama",1987
"222",0,19,0,"Non-communicable",-2.83797152169468e-05,3.80335979035859e-05,-5.71964298485813e-06,"Male","Alabama",1987
"223",0,19,1,"All other causes",0.000439320549051393,0.000513113302181312,0.000465690547661633,"Female","Alabama",1987
"224",0,19,1,"Cancers",0.000230750537954388,0.000290682844623739,0.00025018790171036,"Female","Alabama",1987
"225",0,19,1,"Cardiovascular",0.000983628848471515,0.00113262123294507,0.00102984003203767,"Female","Alabama",1987
"226",0,19,1,"Communicable",3.54022240423893e-05,7.43638676262937e-05,4.82992161391146e-05,"Female","Alabama",1987
"227",0,19,1,"Injuries",1.67983346376662e-05,4.43294755550354e-05,2.5384562989061e-05,"Female","Alabama",1987
"228",0,19,1,"Non-communicable",0.00019227192465523,0.00023934728312072,0.000205797987062833,"Female","Alabama",1987
"229",0,20,0,"All other causes",0.000735441367220771,0.000842398908642924,0.000770890917579323,"Male","Alabama",1988
"230",0,20,0,"Cancers",0.000673099092882568,0.000796525956052345,0.000713965319079715,"Male","Alabama",1988
"231",0,20,0,"Cardiovascular",0.00073451541193759,0.000953595271482919,0.000811339448400232,"Male","Alabama",1988
"232",0,20,0,"Communicable",0.000133280486598582,0.000217340109499176,0.000162137736200888,"Male","Alabama",1988
"233",0,20,0,"Injuries",0.000554741679697969,0.000631237146529186,0.000584906330654834,"Male","Alabama",1988
"234",0,20,0,"Non-communicable",-1.03237852877998e-05,5.70983982921199e-05,1.03827942890028e-05,"Male","Alabama",1988
"235",0,20,1,"All other causes",0.00044327413000432,0.000512884162710155,0.000467105890524085,"Female","Alabama",1988
"236",0,20,1,"Cancers",0.000234164695166215,0.000298040168379339,0.000256684283486931,"Female","Alabama",1988
"237",0,20,1,"Cardiovascular",0.000875831856924297,0.00102686971791158,0.000931107831336789,"Female","Alabama",1988
"238",0,20,1,"Communicable",1.99033206151456e-05,5.89080427866084e-05,3.36123367160208e-05,"Female","Alabama",1988
"239",0,20,1,"Injuries",9.23168708555057e-06,3.88031262376033e-05,1.90549240566141e-05,"Female","Alabama",1988
"240",0,20,1,"Non-communicable",0.000191810945819789,0.000237872928949747,0.00020666880681126,"Female","Alabama",1988
"241",0,21,0,"All other causes",0.000744920012851515,0.000857426766163704,0.000786747397427857,"Male","Alabama",1989
"242",0,21,0,"Cancers",0.000758073951619523,0.000881787350999269,0.000796507638030779,"Male","Alabama",1989
"243",0,21,0,"Cardiovascular",0.000766033119023674,0.000981257766189778,0.000847182754785108,"Male","Alabama",1989
"244",0,21,0,"Communicable",0.000196299904321054,0.000277474727336925,0.00022382539754007,"Male","Alabama",1989
