"","X","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean","state.reorder"
"22",22,0,1,1,1,"Communicable","Black","Female","Alabama",1969,"East South Central","South","AL",45.8335208140453,50.3652015978205,55.4600056535437,50.3652015978205,"Alabama"
"23",23,0,1,1,1,"Injuries","Black","Female","Alabama",1969,"East South Central","South","AL",61.0781549334007,65.3442095807617,70.2633352206676,65.3442095807617,"Alabama"
"24",24,0,1,1,1,"Non-communicable","Black","Female","Alabama",1969,"East South Central","South","AL",71.7831327058716,77.0774871895432,82.8904777670453,77.0774871895432,"Alabama"
"25",25,0,2,0,0,"All other causes","White","Male","Alabama",1970,"East South Central","South","AL",180.163591392025,186.619514794644,192.916674923783,186.619514794644,"Alabama"
"26",26,0,2,0,0,"Cancers","White","Male","Alabama",1970,"East South Central","South","AL",227.608325787106,233.699615095062,240.070023721345,233.699615095062,"Alabama"
"27",27,0,2,0,0,"Cardiovascular","White","Male","Alabama",1970,"East South Central","South","AL",895.843483733796,914.87079984054,932.580813500339,914.87079984054,"Alabama"
"28",28,0,2,0,0,"Communicable","White","Male","Alabama",1970,"East South Central","South","AL",62.7208782332315,67.3415061238142,72.1908539984518,67.3415061238142,"Alabama"
"29",29,0,2,0,0,"Injuries","White","Male","Alabama",1970,"East South Central","South","AL",143.619064371127,147.942884823078,152.682237225397,147.942884823078,"Alabama"
"30",30,0,2,0,0,"Non-communicable","White","Male","Alabama",1970,"East South Central","South","AL",88.9341118334922,92.8118516544749,96.7799717445036,92.8118516544749,"Alabama"
"31",31,0,2,0,1,"All other causes","White","Female","Alabama",1970,"East South Central","South","AL",110.682758793895,114.820155823394,119.051049478693,114.820155823394,"Alabama"
"32",32,0,2,0,1,"Cancers","White","Female","Alabama",1970,"East South Central","South","AL",135.815233711277,139.287326300715,142.869255188017,139.287326300715,"Alabama"
"33",33,0,2,0,1,"Cardiovascular","White","Female","Alabama",1970,"East South Central","South","AL",549.551199717656,562.380400175085,575.320381315121,562.380400175085,"Alabama"
"34",34,0,2,0,1,"Communicable","White","Female","Alabama",1970,"East South Central","South","AL",35.207916133258,37.6097563428819,40.3954369413846,37.6097563428819,"Alabama"
"35",35,0,2,0,1,"Injuries","White","Female","Alabama",1970,"East South Central","South","AL",49.1799854619557,51.2042056515242,53.4459023676377,51.2042056515242,"Alabama"
"36",36,0,2,0,1,"Non-communicable","White","Female","Alabama",1970,"East South Central","South","AL",41.030314836415,43.1417145902517,45.4612804687505,43.1417145902517,"Alabama"
"37",37,0,2,1,0,"All other causes","Black","Male","Alabama",1970,"East South Central","South","AL",330.065115055167,342.359918385182,356.624715610327,342.359918385182,"Alabama"
"38",38,0,2,1,0,"Cancers","Black","Male","Alabama",1970,"East South Central","South","AL",232.664177559524,242.487257377517,252.896187695931,242.487257377517,"Alabama"
"39",39,0,2,1,0,"Cardiovascular","Black","Male","Alabama",1970,"East South Central","South","AL",845.746246397034,869.558591796259,896.017622161885,869.558591796259,"Alabama"
"40",40,0,2,1,0,"Communicable","Black","Male","Alabama",1970,"East South Central","South","AL",97.1030567829896,104.613639076373,112.362824988397,104.613639076373,"Alabama"
"41",41,0,2,1,0,"Injuries","Black","Male","Alabama",1970,"East South Central","South","AL",240.008593414677,251.426978560764,262.397652483702,251.426978560764,"Alabama"
"42",42,0,2,1,0,"Non-communicable","Black","Male","Alabama",1970,"East South Central","South","AL",87.8408850239361,93.6359938881222,99.6185598572324,93.6359938881222,"Alabama"
"43",43,0,2,1,1,"All other causes","Black","Female","Alabama",1970,"East South Central","South","AL",229.77724320596,239.023776974184,248.531064217098,239.023776974184,"Alabama"
"44",44,0,2,1,1,"Cancers","Black","Female","Alabama",1970,"East South Central","South","AL",155.139085355906,161.425604500768,168.486312886663,161.425604500768,"Alabama"
"45",45,0,2,1,1,"Cardiovascular","Black","Female","Alabama",1970,"East South Central","South","AL",674.312428934846,693.59915695099,715.050285649391,693.59915695099,"Alabama"
"46",46,0,2,1,1,"Communicable","Black","Female","Alabama",1970,"East South Central","South","AL",46.0235388230935,49.8373156092862,54.4394199552447,49.8373156092862,"Alabama"
"47",47,0,2,1,1,"Injuries","Black","Female","Alabama",1970,"East South Central","South","AL",60.3235549160728,64.5033887941117,68.7311983392965,64.5033887941117,"Alabama"
"48",48,0,2,1,1,"Non-communicable","Black","Female","Alabama",1970,"East South Central","South","AL",73.7311586870143,78.619836630481,83.6149401722968,78.619836630481,"Alabama"
"49",49,0,3,0,0,"All other causes","White","Male","Alabama",1971,"East South Central","South","AL",176.99466713765,182.596269271772,188.921450630605,182.596269271772,"Alabama"
"50",50,0,3,0,0,"Cancers","White","Male","Alabama",1971,"East South Central","South","AL",230.49714314145,236.619805746263,242.470033429192,236.619805746263,"Alabama"
"51",51,0,3,0,0,"Cardiovascular","White","Male","Alabama",1971,"East South Central","South","AL",898.466670630034,915.993642328172,934.199588029991,915.993642328172,"Alabama"
"52",52,0,3,0,0,"Communicable","White","Male","Alabama",1971,"East South Central","South","AL",60.3676288750049,64.6282552905708,69.4220897521034,64.6282552905708,"Alabama"
"53",53,0,3,0,0,"Injuries","White","Male","Alabama",1971,"East South Central","South","AL",143.820041916725,147.897118195169,152.549331784195,147.897118195169,"Alabama"
"54",54,0,3,0,0,"Non-communicable","White","Male","Alabama",1971,"East South Central","South","AL",90.1818112890114,93.561651305546,97.1182881072587,93.561651305546,"Alabama"
"55",55,0,3,0,1,"All other causes","White","Female","Alabama",1971,"East South Central","South","AL",108.453531701617,112.201450436031,116.111138261694,112.201450436031,"Alabama"
"56",56,0,3,0,1,"Cancers","White","Female","Alabama",1971,"East South Central","South","AL",136.533732525419,139.79087741135,143.274308122723,139.79087741135,"Alabama"
"57",57,0,3,0,1,"Cardiovascular","White","Female","Alabama",1971,"East South Central","South","AL",534.626632850166,545.627623579583,556.221413396288,545.627623579583,"Alabama"
"58",58,0,3,0,1,"Communicable","White","Female","Alabama",1971,"East South Central","South","AL",33.7994841418922,36.2205342178238,38.736896164073,36.2205342178238,"Alabama"
"59",59,0,3,0,1,"Injuries","White","Female","Alabama",1971,"East South Central","South","AL",48.3517936551611,50.531793810563,52.4768443200117,50.531793810563,"Alabama"
"60",60,0,3,0,1,"Non-communicable","White","Female","Alabama",1971,"East South Central","South","AL",40.6830636836539,42.6223147662164,44.8879802927142,42.6223147662164,"Alabama"
"61",61,0,3,1,0,"All other causes","Black","Male","Alabama",1971,"East South Central","South","AL",327.917568913766,339.929117785383,352.88253347014,339.929117785383,"Alabama"
"62",62,0,3,1,0,"Cancers","Black","Male","Alabama",1971,"East South Central","South","AL",238.789345965678,247.971974493817,258.722313737379,247.971974493817,"Alabama"
"63",63,0,3,1,0,"Cardiovascular","Black","Male","Alabama",1971,"East South Central","South","AL",836.11719641998,858.55322876318,882.1720742405,858.55322876318,"Alabama"
"64",64,0,3,1,0,"Communicable","Black","Male","Alabama",1971,"East South Central","South","AL",86.4602805977878,93.0101444568069,99.474415056057,93.0101444568069,"Alabama"
"65",65,0,3,1,0,"Injuries","Black","Male","Alabama",1971,"East South Central","South","AL",241.416229554177,252.075589803861,262.664172168606,252.075589803861,"Alabama"
"66",66,0,3,1,0,"Non-communicable","Black","Male","Alabama",1971,"East South Central","South","AL",89.7969821981975,95.0079407931789,100.24923461368,95.0079407931789,"Alabama"
"67",67,0,3,1,1,"All other causes","Black","Female","Alabama",1971,"East South Central","South","AL",221.191721183352,229.216760547192,238.455815781886,229.216760547192,"Alabama"
"68",68,0,3,1,1,"Cancers","Black","Female","Alabama",1971,"East South Central","South","AL",155.551634171259,161.288892988062,167.383160420192,161.288892988062,"Alabama"
"69",69,0,3,1,1,"Cardiovascular","Black","Female","Alabama",1971,"East South Central","South","AL",636.062853051418,655.402776746998,674.726285804981,655.402776746998,"Alabama"
"70",70,0,3,1,1,"Communicable","Black","Female","Alabama",1971,"East South Central","South","AL",44.1607691292266,47.741901631341,51.9324686722127,47.741901631341,"Alabama"
"71",71,0,3,1,1,"Injuries","Black","Female","Alabama",1971,"East South Central","South","AL",60.0785861642543,63.6406747604568,67.266460608816,63.6406747604568,"Alabama"
"72",72,0,3,1,1,"Non-communicable","Black","Female","Alabama",1971,"East South Central","South","AL",74.8452720996736,78.9812963544353,83.6939503840812,78.9812963544353,"Alabama"
"73",73,0,4,0,0,"All other causes","White","Male","Alabama",1972,"East South Central","South","AL",175.781378592627,180.952708753867,187.464044543052,180.952708753867,"Alabama"
"74",74,0,4,0,0,"Cancers","White","Male","Alabama",1972,"East South Central","South","AL",234.582228176033,240.188785261731,246.098454558437,240.188785261731,"Alabama"
"75",75,0,4,0,0,"Cardiovascular","White","Male","Alabama",1972,"East South Central","South","AL",886.421126638566,904.569987793458,922.719455604603,904.569987793458,"Alabama"
"76",76,0,4,0,0,"Communicable","White","Male","Alabama",1972,"East South Central","South","AL",61.1649548046439,65.5085479799493,70.2956401937242,65.5085479799493,"Alabama"
"77",77,0,4,0,0,"Injuries","White","Male","Alabama",1972,"East South Central","South","AL",142.150330502681,146.193243645202,150.466240579502,146.193243645202,"Alabama"
"78",78,0,4,0,0,"Non-communicable","White","Male","Alabama",1972,"East South Central","South","AL",92.1481675129494,95.7287490387211,99.035987783774,95.7287490387211,"Alabama"
"79",79,0,4,0,1,"All other causes","White","Female","Alabama",1972,"East South Central","South","AL",107.377390520247,111.22246297165,115.108099272011,111.22246297165,"Alabama"
"80",80,0,4,0,1,"Cancers","White","Female","Alabama",1972,"East South Central","South","AL",137.205488222527,140.732207611978,143.876596670452,140.732207611978,"Alabama"
"81",81,0,4,0,1,"Cardiovascular","White","Female","Alabama",1972,"East South Central","South","AL",522.932615697908,535.475263209532,547.510625409764,535.475263209532,"Alabama"
"82",82,0,4,0,1,"Communicable","White","Female","Alabama",1972,"East South Central","South","AL",32.9137147938445,35.1030678783374,37.4545824022203,35.1030678783374,"Alabama"
"83",83,0,4,0,1,"Injuries","White","Female","Alabama",1972,"East South Central","South","AL",47.826755484817,49.6980993469609,51.8160657555342,49.6980993469609,"Alabama"
"84",84,0,4,0,1,"Non-communicable","White","Female","Alabama",1972,"East South Central","South","AL",41.0831299706328,42.9758109184988,44.9840905766135,42.9758109184988,"Alabama"
"85",85,0,4,1,0,"All other causes","Black","Male","Alabama",1972,"East South Central","South","AL",333.199069685489,345.391596307996,357.414402990195,345.391596307996,"Alabama"
"86",86,0,4,1,0,"Cancers","Black","Male","Alabama",1972,"East South Central","South","AL",243.315242818239,252.632494059693,263.195667899983,252.632494059693,"Alabama"
"87",87,0,4,1,0,"Cardiovascular","Black","Male","Alabama",1972,"East South Central","South","AL",836.753977665101,857.389790771154,880.936785815158,857.389790771154,"Alabama"
"88",88,0,4,1,0,"Communicable","Black","Male","Alabama",1972,"East South Central","South","AL",83.0379666654687,89.6774219661304,96.3180428138063,89.6774219661304,"Alabama"
"89",89,0,4,1,0,"Injuries","Black","Male","Alabama",1972,"East South Central","South","AL",236.117951703699,247.076249261233,257.066689672784,247.076249261233,"Alabama"
"90",90,0,4,1,0,"Non-communicable","Black","Male","Alabama",1972,"East South Central","South","AL",92.2225918138613,97.2617047757878,102.159437961619,97.2617047757878,"Alabama"
"91",91,0,4,1,1,"All other causes","Black","Female","Alabama",1972,"East South Central","South","AL",221.181670081551,229.910015744489,238.692967145087,229.910015744489,"Alabama"
"92",92,0,4,1,1,"Cancers","Black","Female","Alabama",1972,"East South Central","South","AL",154.984517312628,160.831329019742,166.65766466424,160.831329019742,"Alabama"
"93",93,0,4,1,1,"Cardiovascular","Black","Female","Alabama",1972,"East South Central","South","AL",617.740551156793,635.37381874339,653.271170986855,635.37381874339,"Alabama"
"94",94,0,4,1,1,"Communicable","Black","Female","Alabama",1972,"East South Central","South","AL",42.9127170659743,46.2322212018926,50.1514473885948,46.2322212018926,"Alabama"
"95",95,0,4,1,1,"Injuries","Black","Female","Alabama",1972,"East South Central","South","AL",58.9741120566526,62.2402770268442,65.6786951554577,62.2402770268442,"Alabama"
"96",96,0,4,1,1,"Non-communicable","Black","Female","Alabama",1972,"East South Central","South","AL",75.9611808598823,80.2183032555781,84.6354449002026,80.2183032555781,"Alabama"
"97",97,0,5,0,0,"All other causes","White","Male","Alabama",1973,"East South Central","South","AL",177.665560725398,182.774786979406,188.648403541647,182.774786979406,"Alabama"
"98",98,0,5,0,0,"Cancers","White","Male","Alabama",1973,"East South Central","South","AL",235.786335310858,241.556841008521,247.111494979287,241.556841008521,"Alabama"
"99",99,0,5,0,0,"Cardiovascular","White","Male","Alabama",1973,"East South Central","South","AL",875.802188458039,894.588672524942,914.157334261515,894.588672524942,"Alabama"
"100",100,0,5,0,0,"Communicable","White","Male","Alabama",1973,"East South Central","South","AL",59.2031709094031,63.5547374387152,68.1329605860048,63.5547374387152,"Alabama"
"101",101,0,5,0,0,"Injuries","White","Male","Alabama",1973,"East South Central","South","AL",139.746265075986,143.741470784295,147.914914500093,143.741470784295,"Alabama"
"102",102,0,5,0,0,"Non-communicable","White","Male","Alabama",1973,"East South Central","South","AL",94.305582848664,97.8290375730637,101.515593323908,97.8290375730637,"Alabama"
"103",103,0,5,0,1,"All other causes","White","Female","Alabama",1973,"East South Central","South","AL",107.440998421179,111.064808292539,114.820516538807,111.064808292539,"Alabama"
"104",104,0,5,0,1,"Cancers","White","Female","Alabama",1973,"East South Central","South","AL",138.549993553072,141.590805100296,144.797325354003,141.590805100296,"Alabama"
"105",105,0,5,0,1,"Cardiovascular","White","Female","Alabama",1973,"East South Central","South","AL",518.856469582118,529.716094284171,541.587001855037,529.716094284171,"Alabama"
"106",106,0,5,0,1,"Communicable","White","Female","Alabama",1973,"East South Central","South","AL",31.643117155914,33.8541375559931,36.1694633131377,33.8541375559931,"Alabama"
"107",107,0,5,0,1,"Injuries","White","Female","Alabama",1973,"East South Central","South","AL",46.6271565219084,48.5143430754379,50.4760794955566,48.5143430754379,"Alabama"
"108",108,0,5,0,1,"Non-communicable","White","Female","Alabama",1973,"East South Central","South","AL",41.7524286096603,43.7083129601363,45.7092095045984,43.7083129601363,"Alabama"
"109",109,0,5,1,0,"All other causes","Black","Male","Alabama",1973,"East South Central","South","AL",336.520026089576,348.489157815915,361.746932188558,348.489157815915,"Alabama"
"110",110,0,5,1,0,"Cancers","Black","Male","Alabama",1973,"East South Central","South","AL",249.303391119787,260.296671475574,269.741870908497,260.296671475574,"Alabama"
"111",111,0,5,1,0,"Cardiovascular","Black","Male","Alabama",1973,"East South Central","South","AL",832.436547590519,853.02718867223,878.602229680873,853.02718867223,"Alabama"
"112",112,0,5,1,0,"Communicable","Black","Male","Alabama",1973,"East South Central","South","AL",78.1480787813506,84.7543435878975,91.4634476738157,84.7543435878975,"Alabama"
"113",113,0,5,1,0,"Injuries","Black","Male","Alabama",1973,"East South Central","South","AL",232.695495013386,242.950347722033,253.075075686846,242.950347722033,"Alabama"
"114",114,0,5,1,0,"Non-communicable","Black","Male","Alabama",1973,"East South Central","South","AL",94.2799320902552,99.4540889805232,104.416493620723,99.4540889805232,"Alabama"
"115",115,0,5,1,1,"All other causes","Black","Female","Alabama",1973,"East South Central","South","AL",220.684243479507,229.251827969396,238.128699659945,229.251827969396,"Alabama"
"116",116,0,5,1,1,"Cancers","Black","Female","Alabama",1973,"East South Central","South","AL",154.594245296015,160.189065527289,165.635362218175,160.189065527289,"Alabama"
"117",117,0,5,1,1,"Cardiovascular","Black","Female","Alabama",1973,"East South Central","South","AL",602.747501301669,619.906838634816,639.273097993819,619.906838634816,"Alabama"
"118",118,0,5,1,1,"Communicable","Black","Female","Alabama",1973,"East South Central","South","AL",40.2213366370822,43.3244238971836,46.7783861610479,43.3244238971836,"Alabama"
"119",119,0,5,1,1,"Injuries","Black","Female","Alabama",1973,"East South Central","South","AL",57.1500544051116,60.3882040102783,63.6850006044788,60.3882040102783,"Alabama"
"120",120,0,5,1,1,"Non-communicable","Black","Female","Alabama",1973,"East South Central","South","AL",76.202004135326,80.461792634368,84.9963661072914,80.461792634368,"Alabama"
"121",121,0,6,0,0,"All other causes","White","Male","Alabama",1974,"East South Central","South","AL",173.994365375196,179.586093498972,185.360043831723,179.586093498972,"Alabama"
"122",122,0,6,0,0,"Cancers","White","Male","Alabama",1974,"East South Central","South","AL",238.674915543402,244.263200428865,249.827815197592,244.263200428865,"Alabama"
"123",123,0,6,0,0,"Cardiovascular","White","Male","Alabama",1974,"East South Central","South","AL",838.512639209316,855.75120256813,873.052091317569,855.75120256813,"Alabama"
"124",124,0,6,0,0,"Communicable","White","Male","Alabama",1974,"East South Central","South","AL",53.8454788211315,57.6657508821262,61.9503617889744,57.6657508821262,"Alabama"
"125",125,0,6,0,0,"Injuries","White","Male","Alabama",1974,"East South Central","South","AL",135.163570237916,139.163927604272,142.905362918349,139.163927604272,"Alabama"
"126",126,0,6,0,0,"Non-communicable","White","Male","Alabama",1974,"East South Central","South","AL",93.9493541814131,97.1821497829438,100.749388947611,97.1821497829438,"Alabama"
"127",127,0,6,0,1,"All other causes","White","Female","Alabama",1974,"East South Central","South","AL",108.009434433241,111.664087059778,115.390627018221,111.664087059778,"Alabama"
"128",128,0,6,0,1,"Cancers","White","Female","Alabama",1974,"East South Central","South","AL",139.089777876367,142.13164351853,145.556697538545,142.13164351853,"Alabama"
"129",129,0,6,0,1,"Cardiovascular","White","Female","Alabama",1974,"East South Central","South","AL",489.86198335619,499.96408363845,510.359115096742,499.96408363845,"Alabama"
"130",130,0,6,0,1,"Communicable","White","Female","Alabama",1974,"East South Central","South","AL",30.2435104253453,32.2513347817455,34.4581894466682,32.2513347817455,"Alabama"
"131",131,0,6,0,1,"Injuries","White","Female","Alabama",1974,"East South Central","South","AL",44.9015573370164,46.7942969006597,48.6256023296542,46.7942969006597,"Alabama"
"132",132,0,6,0,1,"Non-communicable","White","Female","Alabama",1974,"East South Central","South","AL",41.9945550394974,44.0188742901314,46.0824978191056,44.0188742901314,"Alabama"
"133",133,0,6,1,0,"All other causes","Black","Male","Alabama",1974,"East South Central","South","AL",333.841382751685,346.011838088579,359.373743488884,346.011838088579,"Alabama"
"134",134,0,6,1,0,"Cancers","Black","Male","Alabama",1974,"East South Central","South","AL",255.280712649461,265.533365927209,275.930121060892,265.533365927209,"Alabama"
"135",135,0,6,1,0,"Cardiovascular","Black","Male","Alabama",1974,"East South Central","South","AL",796.74237881836,819.30788131004,840.010543899404,819.30788131004,"Alabama"
"136",136,0,6,1,0,"Communicable","Black","Male","Alabama",1974,"East South Central","South","AL",71.1126858696452,76.6436551627898,82.9218500485594,76.6436551627898,"Alabama"
"137",137,0,6,1,0,"Injuries","Black","Male","Alabama",1974,"East South Central","South","AL",225.801327142276,234.95443845206,244.749796817007,234.95443845206,"Alabama"
"138",138,0,6,1,0,"Non-communicable","Black","Male","Alabama",1974,"East South Central","South","AL",95.4735668251898,100.457339257067,105.20320598082,100.457339257067,"Alabama"
"139",139,0,6,1,1,"All other causes","Black","Female","Alabama",1974,"East South Central","South","AL",215.819362304424,224.636424537243,232.985447589881,224.636424537243,"Alabama"
"140",140,0,6,1,1,"Cancers","Black","Female","Alabama",1974,"East South Central","South","AL",155.107665973109,160.708363546183,166.044676405343,160.708363546183,"Alabama"
"141",141,0,6,1,1,"Cardiovascular","Black","Female","Alabama",1974,"East South Central","South","AL",561.954288063521,578.208260864825,596.246194430966,578.208260864825,"Alabama"
"142",142,0,6,1,1,"Communicable","Black","Female","Alabama",1974,"East South Central","South","AL",37.6954062380497,40.9160412171172,44.2200622198454,40.9160412171172,"Alabama"
"143",143,0,6,1,1,"Injuries","Black","Female","Alabama",1974,"East South Central","South","AL",56.1100935339901,59.0502734489531,62.4385719897363,59.0502734489531,"Alabama"
"144",144,0,6,1,1,"Non-communicable","Black","Female","Alabama",1974,"East South Central","South","AL",75.2963283107128,79.4494143674667,83.4651347735999,79.4494143674667,"Alabama"
"145",145,0,7,0,0,"All other causes","White","Male","Alabama",1975,"East South Central","South","AL",170.7530293626,176.696241663012,182.143272820461,176.696241663012,"Alabama"
"146",146,0,7,0,0,"Cancers","White","Male","Alabama",1975,"East South Central","South","AL",242.740054558796,247.781372517388,253.275838790332,247.781372517388,"Alabama"
"147",147,0,7,0,0,"Cardiovascular","White","Male","Alabama",1975,"East South Central","South","AL",780.819028853634,796.744995128948,813.709118598,796.744995128948,"Alabama"
"148",148,0,7,0,0,"Communicable","White","Male","Alabama",1975,"East South Central","South","AL",52.4073046406916,56.2177312731477,59.9853248126637,56.2177312731477,"Alabama"
"149",149,0,7,0,0,"Injuries","White","Male","Alabama",1975,"East South Central","South","AL",131.359254345296,134.88690156075,138.675495362349,134.88690156075,"Alabama"
"150",150,0,7,0,0,"Non-communicable","White","Male","Alabama",1975,"East South Central","South","AL",94.5043756516145,97.9712088573747,101.714961834818,97.9712088573747,"Alabama"
"151",151,0,7,0,1,"All other causes","White","Female","Alabama",1975,"East South Central","South","AL",105.919585479916,109.329404202838,112.844400603277,109.329404202838,"Alabama"
"152",152,0,7,0,1,"Cancers","White","Female","Alabama",1975,"East South Central","South","AL",138.930732802382,142.202123050634,145.44491482904,142.202123050634,"Alabama"
"153",153,0,7,0,1,"Cardiovascular","White","Female","Alabama",1975,"East South Central","South","AL",462.656719866713,472.557174166874,482.077181649208,472.557174166874,"Alabama"
"154",154,0,7,0,1,"Communicable","White","Female","Alabama",1975,"East South Central","South","AL",28.7627933719247,30.7143619868782,32.8643543871544,30.7143619868782,"Alabama"
"155",155,0,7,0,1,"Injuries","White","Female","Alabama",1975,"East South Central","South","AL",43.3290859318227,45.0517575918263,46.7461971445503,45.0517575918263,"Alabama"
"156",156,0,7,0,1,"Non-communicable","White","Female","Alabama",1975,"East South Central","South","AL",41.3566707852861,43.305724696383,45.234536173352,43.305724696383,"Alabama"
"157",157,0,7,1,0,"All other causes","Black","Male","Alabama",1975,"East South Central","South","AL",333.263359177954,345.461648599881,358.307980610805,345.461648599881,"Alabama"
"158",158,0,7,1,0,"Cancers","Black","Male","Alabama",1975,"East South Central","South","AL",261.750331145731,271.169802701648,281.600323575913,271.169802701648,"Alabama"
"159",159,0,7,1,0,"Cardiovascular","Black","Male","Alabama",1975,"East South Central","South","AL",758.794648414428,780.054553634595,800.995332557289,780.054553634595,"Alabama"
"160",160,0,7,1,0,"Communicable","Black","Male","Alabama",1975,"East South Central","South","AL",70.0574400178478,75.7634077163319,81.7871025663931,75.7634077163319,"Alabama"
"161",161,0,7,1,0,"Injuries","Black","Male","Alabama",1975,"East South Central","South","AL",220.399874887572,229.540194944933,239.513846924302,229.540194944933,"Alabama"
"162",162,0,7,1,0,"Non-communicable","Black","Male","Alabama",1975,"East South Central","South","AL",96.2054387656662,101.209879840285,106.181180156663,101.209879840285,"Alabama"
"163",163,0,7,1,1,"All other causes","Black","Female","Alabama",1975,"East South Central","South","AL",218.519919033123,226.56232458352,234.702233571194,226.56232458352,"Alabama"
"164",164,0,7,1,1,"Cancers","Black","Female","Alabama",1975,"East South Central","South","AL",157.053292410337,162.3325777776,167.755378282,162.3325777776,"Alabama"
"165",165,0,7,1,1,"Cardiovascular","Black","Female","Alabama",1975,"East South Central","South","AL",522.1204933547,537.50089678192,554.006499845865,537.50089678192,"Alabama"
"166",166,0,7,1,1,"Communicable","Black","Female","Alabama",1975,"East South Central","South","AL",35.5774813316381,38.7305982822819,42.0406079754757,38.7305982822819,"Alabama"
"167",167,0,7,1,1,"Injuries","Black","Female","Alabama",1975,"East South Central","South","AL",54.2649245154674,57.7979250052385,60.9630101819977,57.7979250052385,"Alabama"
"168",168,0,7,1,1,"Non-communicable","Black","Female","Alabama",1975,"East South Central","South","AL",74.2913092580386,78.4772535293515,82.5580843724231,78.4772535293515,"Alabama"
"169",169,0,8,0,0,"All other causes","White","Male","Alabama",1976,"East South Central","South","AL",171.925048370226,177.316030199843,182.934188908282,177.316030199843,"Alabama"
"170",170,0,8,0,0,"Cancers","White","Male","Alabama",1976,"East South Central","South","AL",244.5586753161,250.210783136406,255.927702310637,250.210783136406,"Alabama"
