"state.n" "year.n" "race.n" "sex.n" "COD" "race" "sex" "state" "year" "Census_Division" "Census_Region" "stabbrs" "rate.per.100k_LCL" "rate.per.100k" "rate.per.100k_UCL"
"72" 20 3 1 1 "Non-communicable" "Black" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 109.21952511571 116.687497924219 116.687497924219
"73" 20 4 0 0 "All other causes" "White" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 124.290352133497 129.196993893785 129.196993893785
"74" 20 4 0 0 "Cancers" "White" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 276.087622079262 282.852085671923 282.852085671923
"75" 20 4 0 0 "Cardiovascular" "White" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 870.903657270027 888.834668242386 888.834668242386
"76" 20 4 0 0 "Communicable" "White" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 54.5954706695821 58.8788635983799 58.8788635983799
"77" 20 4 0 0 "Injuries" "White" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 93.7327276464491 96.8104362624545 96.8104362624545
"78" 20 4 0 0 "Non-communicable" "White" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 112.852987253447 117.04590691616 117.04590691616
"79" 20 4 0 1 "All other causes" "White" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 83.1566054352661 85.9512591899979 85.9512591899979
"80" 20 4 0 1 "Cancers" "White" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 168.382960180562 172.156873201077 172.156873201077
"81" 20 4 0 1 "Cardiovascular" "White" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 546.576823245209 557.503858682909 557.503858682909
"82" 20 4 0 1 "Communicable" "White" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 28.9273920186322 30.8835083267547 30.8835083267547
"83" 20 4 0 1 "Injuries" "White" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 35.1570068940693 36.6829055991705 36.6829055991705
"84" 20 4 0 1 "Non-communicable" "White" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 53.8320579766039 56.0972505711057 56.0972505711057
"85" 20 4 1 0 "All other causes" "Black" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 214.980011663247 226.221444365321 226.221444365321
"86" 20 4 1 0 "Cancers" "Black" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 345.929647251401 361.286598614514 361.286598614514
"87" 20 4 1 0 "Cardiovascular" "Black" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 812.129443281223 842.415838656098 842.415838656098
"88" 20 4 1 0 "Communicable" "Black" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 82.0107251212035 91.5328658146865 91.5328658146865
"89" 20 4 1 0 "Injuries" "Black" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 170.929641837141 179.553519464381 179.553519464381
"90" 20 4 1 0 "Non-communicable" "Black" "Male" "Maryland" 1972 "South Atlantic" "South" "MD" 149.980575665805 159.433640858214 159.433640858214
"91" 20 4 1 1 "All other causes" "Black" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 133.979469960244 141.001000430678 141.001000430678
"92" 20 4 1 1 "Cancers" "Black" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 190.970590361864 198.144756320858 198.144756320858
"93" 20 4 1 1 "Cardiovascular" "Black" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 608.437885119781 631.26292156348 631.26292156348
"94" 20 4 1 1 "Communicable" "Black" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 36.9356190337082 41.6323433099994 41.6323433099994
"95" 20 4 1 1 "Injuries" "Black" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 42.5866492866177 46.9260106833984 46.9260106833984
"96" 20 4 1 1 "Non-communicable" "Black" "Female" "Maryland" 1972 "South Atlantic" "South" "MD" 109.306021115975 116.541886904403 116.541886904403
"97" 20 5 0 0 "All other causes" "White" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 121.05200759798 125.562981698146 125.562981698146
"98" 20 5 0 0 "Cancers" "White" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 277.93976777153 284.932417222224 284.932417222224
"99" 20 5 0 0 "Cardiovascular" "White" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 846.520969164942 862.453786173473 862.453786173473
"100" 20 5 0 0 "Communicable" "White" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 50.6042773803261 54.8422049254213 54.8422049254213
"101" 20 5 0 0 "Injuries" "White" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 90.8877679153537 93.9037779654308 93.9037779654308
"102" 20 5 0 0 "Non-communicable" "White" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 110.529998047463 114.606133655441 114.606133655441
"103" 20 5 0 1 "All other causes" "White" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 81.61714502107 84.5962989825363 84.5962989825363
"104" 20 5 0 1 "Cancers" "White" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 168.776919637033 172.696759285524 172.696759285524
"105" 20 5 0 1 "Cardiovascular" "White" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 523.870349840794 534.757180591441 534.757180591441
"106" 20 5 0 1 "Communicable" "White" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 29.4648250552769 31.3052273608699 31.3052273608699
"107" 20 5 0 1 "Injuries" "White" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 34.6445070847229 36.0177440631116 36.0177440631116
"108" 20 5 0 1 "Non-communicable" "White" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 53.2247770134648 55.4382512243986 55.4382512243986
"109" 20 5 1 0 "All other causes" "Black" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 209.916572757604 220.449888778379 220.449888778379
"110" 20 5 1 0 "Cancers" "Black" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 350.433550556041 365.265727538681 365.265727538681
"111" 20 5 1 0 "Cardiovascular" "Black" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 799.7753989828 828.074292389466 828.074292389466
"112" 20 5 1 0 "Communicable" "Black" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 78.7464483279635 87.2093315702004 87.2093315702004
"113" 20 5 1 0 "Injuries" "Black" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 162.410712956012 171.269677288795 171.269677288795
"114" 20 5 1 0 "Non-communicable" "Black" "Male" "Maryland" 1973 "South Atlantic" "South" "MD" 144.817620119514 153.527019691607 153.527019691607
"115" 20 5 1 1 "All other causes" "Black" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 131.408185437133 137.659346336107 137.659346336107
"116" 20 5 1 1 "Cancers" "Black" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 190.938001270593 198.637997821688 198.637997821688
"117" 20 5 1 1 "Cardiovascular" "Black" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 569.196826924221 591.551225853387 591.551225853387
"118" 20 5 1 1 "Communicable" "Black" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 36.8899649230909 41.901876105025 41.901876105025
"119" 20 5 1 1 "Injuries" "Black" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 41.3228050670153 45.3427525404888 45.3427525404888
"120" 20 5 1 1 "Non-communicable" "Black" "Female" "Maryland" 1973 "South Atlantic" "South" "MD" 105.992999853966 112.466988197517 112.466988197517
"121" 20 6 0 0 "All other causes" "White" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 120.002575379495 124.852147863261 124.852147863261
"122" 20 6 0 0 "Cancers" "White" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 279.415508999868 286.10618887576 286.10618887576
"123" 20 6 0 0 "Cardiovascular" "White" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 821.822860828265 838.397418615355 838.397418615355
"124" 20 6 0 0 "Communicable" "White" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 46.9068971538895 50.4814217212638 50.4814217212638
"125" 20 6 0 0 "Injuries" "White" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 88.097061537754 91.0552175033997 91.0552175033997
"126" 20 6 0 0 "Non-communicable" "White" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 109.801864213153 114.23993550453 114.23993550453
"127" 20 6 0 1 "All other causes" "White" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 81.0811417326856 84.1801854039653 84.1801854039653
"128" 20 6 0 1 "Cancers" "White" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 169.336043175675 173.118727516761 173.118727516761
"129" 20 6 0 1 "Cardiovascular" "White" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 500.990170508401 511.293111647259 511.293111647259
"130" 20 6 0 1 "Communicable" "White" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 29.3764063590385 31.2026191416969 31.2026191416969
"131" 20 6 0 1 "Injuries" "White" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 33.666703108386 35.0645532731746 35.0645532731746
"132" 20 6 0 1 "Non-communicable" "White" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 51.9630882552813 54.2985365058471 54.2985365058471
"133" 20 6 1 0 "All other causes" "Black" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 208.611407141956 219.549491406362 219.549491406362
"134" 20 6 1 0 "Cancers" "Black" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 354.699949989147 368.89640725746 368.89640725746
"135" 20 6 1 0 "Cardiovascular" "Black" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 772.821596525345 801.745760469428 801.745760469428
"136" 20 6 1 0 "Communicable" "Black" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 74.3168130445631 83.870424511969 83.870424511969
"137" 20 6 1 0 "Injuries" "Black" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 156.195168968039 164.949243866763 164.949243866763
"138" 20 6 1 0 "Non-communicable" "Black" "Male" "Maryland" 1974 "South Atlantic" "South" "MD" 139.244038831235 147.745716909117 147.745716909117
"139" 20 6 1 1 "All other causes" "Black" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 129.643364051448 136.418466331501 136.418466331501
"140" 20 6 1 1 "Cancers" "Black" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 192.448594999328 199.806164062105 199.806164062105
"141" 20 6 1 1 "Cardiovascular" "Black" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 538.230646789737 559.743419901496 559.743419901496
"142" 20 6 1 1 "Communicable" "Black" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 35.7055682120916 40.3566376007895 40.3566376007895
"143" 20 6 1 1 "Injuries" "Black" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 39.8763331205755 43.4143338504146 43.4143338504146
"144" 20 6 1 1 "Non-communicable" "Black" "Female" "Maryland" 1974 "South Atlantic" "South" "MD" 99.2799384157832 106.218888372704 106.218888372704
"145" 20 7 0 0 "All other causes" "White" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 117.081293269597 121.745626344677 121.745626344677
"146" 20 7 0 0 "Cancers" "White" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 280.01451089317 286.29485421731 286.29485421731
"147" 20 7 0 0 "Cardiovascular" "White" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 787.030591596237 803.281310110487 803.281310110487
"148" 20 7 0 0 "Communicable" "White" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 46.8499953573753 50.5335409071896 50.5335409071896
"149" 20 7 0 0 "Injuries" "White" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 84.8820797175378 87.7056615967101 87.7056615967101
"150" 20 7 0 0 "Non-communicable" "White" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 106.351180029262 110.231435478291 110.231435478291
"151" 20 7 0 1 "All other causes" "White" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 79.5414522932694 82.2391065592634 82.2391065592634
"152" 20 7 0 1 "Cancers" "White" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 171.939479308069 175.653280072873 175.653280072873
"153" 20 7 0 1 "Cardiovascular" "White" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 471.695268345863 481.219371027264 481.219371027264
"154" 20 7 0 1 "Communicable" "White" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 28.7091940675861 30.4639069157069 30.4639069157069
"155" 20 7 0 1 "Injuries" "White" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 32.6705714361597 34.0679245397444 34.0679245397444
"156" 20 7 0 1 "Non-communicable" "White" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 50.4851948013735 52.6620104152442 52.6620104152442
"157" 20 7 1 0 "All other causes" "Black" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 205.584310359163 215.848632484588 215.848632484588
"158" 20 7 1 0 "Cancers" "Black" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 363.300074804578 378.934442761881 378.934442761881
"159" 20 7 1 0 "Cardiovascular" "Black" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 745.492154107475 771.967428285233 771.967428285233
"160" 20 7 1 0 "Communicable" "Black" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 74.4304471896129 83.5103734953911 83.5103734953911
"161" 20 7 1 0 "Injuries" "Black" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 150.924271097665 158.810698435447 158.810698435447
"162" 20 7 1 0 "Non-communicable" "Black" "Male" "Maryland" 1975 "South Atlantic" "South" "MD" 133.70052393281 142.237020997576 142.237020997576
"163" 20 7 1 1 "All other causes" "Black" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 128.404101663076 135.039244808738 135.039244808738
"164" 20 7 1 1 "Cancers" "Black" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 194.133452223423 201.313656928785 201.313656928785
"165" 20 7 1 1 "Cardiovascular" "Black" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 515.769381938591 534.595910950093 534.595910950093
"166" 20 7 1 1 "Communicable" "Black" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 35.4694022223407 40.0077664084029 40.0077664084029
"167" 20 7 1 1 "Injuries" "Black" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 38.0235703179219 41.7586927371363 41.7586927371363
"168" 20 7 1 1 "Non-communicable" "Black" "Female" "Maryland" 1975 "South Atlantic" "South" "MD" 95.9753278890437 102.246532080701 102.246532080701
"169" 20 8 0 0 "All other causes" "White" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 114.446757294645 119.019716994666 119.019716994666
"170" 20 8 0 0 "Cancers" "White" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 284.05378837441 290.009182466155 290.009182466155
"171" 20 8 0 0 "Cardiovascular" "White" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 757.32824362525 774.232575859168 774.232575859168
"172" 20 8 0 0 "Communicable" "White" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 48.6072339332411 52.5068462978001 52.5068462978001
"173" 20 8 0 0 "Injuries" "White" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 82.5245480976144 85.4125368720552 85.4125368720552
"174" 20 8 0 0 "Non-communicable" "White" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 103.184293493641 107.297343159632 107.297343159632
"175" 20 8 0 1 "All other causes" "White" "Female" "Maryland" 1976 "South Atlantic" "South" "MD" 78.3090697051117 81.1037769053672 81.1037769053672
"176" 20 8 0 1 "Cancers" "White" "Female" "Maryland" 1976 "South Atlantic" "South" "MD" 174.511613962124 178.403811920986 178.403811920986
"177" 20 8 0 1 "Cardiovascular" "White" "Female" "Maryland" 1976 "South Atlantic" "South" "MD" 473.322126660122 483.668216452854 483.668216452854
"178" 20 8 0 1 "Communicable" "White" "Female" "Maryland" 1976 "South Atlantic" "South" "MD" 29.0388091981418 30.7022026975496 30.7022026975496
"179" 20 8 0 1 "Injuries" "White" "Female" "Maryland" 1976 "South Atlantic" "South" "MD" 32.3246056636407 33.5850964174416 33.5850964174416
"180" 20 8 0 1 "Non-communicable" "White" "Female" "Maryland" 1976 "South Atlantic" "South" "MD" 49.0235849592986 51.1538726068814 51.1538726068814
"181" 20 8 1 0 "All other causes" "Black" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 205.015031035014 215.858752854327 215.858752854327
"182" 20 8 1 0 "Cancers" "Black" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 371.688373398193 386.642874205052 386.642874205052
"183" 20 8 1 0 "Cardiovascular" "Black" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 725.43322788388 750.335514539509 750.335514539509
"184" 20 8 1 0 "Communicable" "Black" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 74.2301455796341 82.8572058727341 82.8572058727341
"185" 20 8 1 0 "Injuries" "Black" "Male" "Maryland" 1976 "South Atlantic" "South" "MD" 140.505190682499 147.910402959924 147.910402959924
