"","X","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year","state.reorder"
"41",41,0,4,0,"Injuries",89.1762497740653,100.700117075537,111.792552004325,100.821069576213,"East South Central","South","AL","Male","Alabama",1972,"Alabama"
"42",42,0,4,0,"Non-communicable",-4.93700401689234,1.51935658112212,7.60246559974594,1.53663888371563,"East South Central","South","AL","Male","Alabama",1972,"Alabama"
"43",43,0,4,1,"All other causes",109.401565036895,118.622570071866,128.325650248071,118.686547473945,"East South Central","South","AL","Female","Alabama",1972,"Alabama"
"44",44,0,4,1,"Cancers",14.0655647468096,20.0560967198169,26.8763006928362,20.0523291385355,"East South Central","South","AL","Female","Alabama",1972,"Alabama"
"45",45,0,4,1,"Cardiovascular",79.1002941923462,99.3283030401672,122.153160862679,99.4868184051956,"East South Central","South","AL","Female","Alabama",1972,"Alabama"
"46",46,0,4,1,"Communicable",6.83391373241651,11.1810847937209,15.6007212543468,11.1139508329507,"East South Central","South","AL","Female","Alabama",1972,"Alabama"
"47",47,0,4,1,"Injuries",8.72211191269449,12.4756763844904,16.7026799861186,12.4966680515278,"East South Central","South","AL","Female","Alabama",1972,"Alabama"
"48",48,0,4,1,"Non-communicable",32.7594531977606,37.1711429707291,42.0668850667292,37.252582072538,"East South Central","South","AL","Female","Alabama",1972,"Alabama"
"49",49,0,5,0,"All other causes",152.278763670702,166.000291514546,179.37242047939,165.976124211293,"East South Central","South","AL","Male","Alabama",1973,"Alabama"
"50",50,0,5,0,"Cancers",7.01804871251272,18.4203272664524,29.8447019325187,18.5236303417768,"East South Central","South","AL","Male","Alabama",1973,"Alabama"
"51",51,0,5,0,"Cardiovascular",-69.2151652135617,-41.3907430249286,-8.59360758098349,-41.0199334640337,"East South Central","South","AL","Male","Alabama",1973,"Alabama"
"52",52,0,5,0,"Communicable",13.2678841914446,21.128213385175,29.1190401627445,21.1995455411518,"East South Central","South","AL","Male","Alabama",1973,"Alabama"
"53",53,0,5,0,"Injuries",88.1264304312984,99.1960578259353,110.778729144965,99.2727667260985,"East South Central","South","AL","Male","Alabama",1973,"Alabama"
"54",54,0,5,0,"Non-communicable",-4.59955248112868,1.54130133529772,7.38217377096332,1.478951965382,"East South Central","South","AL","Male","Alabama",1973,"Alabama"
"55",55,0,5,1,"All other causes",108.600456104271,118.047761223503,127.994382304033,118.041331225381,"East South Central","South","AL","Female","Alabama",1973,"Alabama"
"56",56,0,5,1,"Cancers",11.8963851612634,18.6174231164137,24.7246379387152,18.4914535209872,"East South Central","South","AL","Female","Alabama",1973,"Alabama"
"57",57,0,5,1,"Cardiovascular",67.7524774072521,90.6658461057445,112.548874753962,90.7787232634766,"East South Central","South","AL","Female","Alabama",1973,"Alabama"
"58",58,0,5,1,"Communicable",5.46705737157527,9.57807079997382,13.2941926111904,9.56026317352961,"East South Central","South","AL","Female","Alabama",1973,"Alabama"
"59",59,0,5,1,"Injuries",8.05694546872527,11.8834007968612,15.7905400210606,11.8817785295565,"East South Central","South","AL","Female","Alabama",1973,"Alabama"
"60",60,0,5,1,"Non-communicable",31.9780079513925,36.8409831606547,41.7038094109203,36.8679005149212,"East South Central","South","AL","Female","Alabama",1973,"Alabama"
"61",61,0,6,0,"All other causes",152.552807520754,166.381047481616,180.50947959849,166.443539810965,"East South Central","South","AL","Male","Alabama",1974,"Alabama"
"62",62,0,6,0,"Cancers",9.62844292561777,21.2488105543213,32.9164983602031,21.3138987816903,"East South Central","South","AL","Male","Alabama",1974,"Alabama"
"63",63,0,6,0,"Cardiovascular",-64.7991525115048,-36.2676583036601,-9.40600254632101,-36.9349457036095,"East South Central","South","AL","Male","Alabama",1974,"Alabama"
"64",64,0,6,0,"Communicable",12.0646097359699,18.9335629866823,26.0358217939749,18.9462518905468,"East South Central","South","AL","Male","Alabama",1974,"Alabama"
"65",65,0,6,0,"Injuries",86.3052697732725,95.7198591675939,106.451411530303,95.8759607391255,"East South Central","South","AL","Male","Alabama",1974,"Alabama"
"66",66,0,6,0,"Non-communicable",-3.02598463438968,3.19036468750851,9.06670754778584,3.20511993431497,"East South Central","South","AL","Male","Alabama",1974,"Alabama"
"67",67,0,6,1,"All other causes",103.580339516773,113.008087669551,122.397410135139,112.87192624757,"East South Central","South","AL","Female","Alabama",1974,"Alabama"
"68",68,0,6,1,"Cancers",11.9929516169974,18.6580110571271,24.9007244370367,18.5028384080747,"East South Central","South","AL","Female","Alabama",1974,"Alabama"
"69",69,0,6,1,"Cardiovascular",56.4617392751278,78.6831454923864,98.3284880051272,78.3167608501424,"East South Central","South","AL","Female","Alabama",1974,"Alabama"
"70",70,0,6,1,"Communicable",4.73192900070686,8.60250335629431,12.510398291865,8.66313729908259,"East South Central","South","AL","Female","Alabama",1974,"Alabama"
"71",71,0,6,1,"Injuries",8.76673585095548,12.2896343574912,16.039900485575,12.351962002802,"East South Central","South","AL","Female","Alabama",1974,"Alabama"
"72",72,0,6,1,"Non-communicable",30.841168819234,35.3522121928232,39.959684681335,35.3521638194705,"East South Central","South","AL","Female","Alabama",1974,"Alabama"
"73",73,0,7,0,"All other causes",155.658970159455,169.124039068649,182.652539809637,169.020292993285,"East South Central","South","AL","Male","Alabama",1975,"Alabama"
"74",74,0,7,0,"Cancers",12.051175584495,23.553207367719,34.2243017252059,23.4261661682955,"East South Central","South","AL","Male","Alabama",1975,"Alabama"
"75",75,0,7,0,"Cardiovascular",-44.215856163508,-16.5992629276403,9.87789559736217,-16.773622966947,"East South Central","South","AL","Male","Alabama",1975,"Alabama"
"76",76,0,7,0,"Communicable",12.5812138965883,19.6776854341248,26.1484771591776,19.6053362427706,"East South Central","South","AL","Male","Alabama",1975,"Alabama"
"77",77,0,7,0,"Injuries",84.7575719566567,94.4287733037596,105.531734147465,94.6134482798775,"East South Central","South","AL","Male","Alabama",1975,"Alabama"
"78",78,0,7,0,"Non-communicable",-3.19063537183855,3.21576633090799,9.47016871315709,3.25431992871602,"East South Central","South","AL","Male","Alabama",1975,"Alabama"
"79",79,0,7,1,"All other causes",108.539971681009,117.186808164862,126.401578420967,117.342641867133,"East South Central","South","AL","Female","Alabama",1975,"Alabama"
"80",80,0,7,1,"Cancers",13.7849757667151,20.1684090178169,26.1437144582216,20.1159067130693,"East South Central","South","AL","Female","Alabama",1975,"Alabama"
"81",81,0,7,1,"Cardiovascular",46.6865281407097,65.2505341397946,83.9123986931562,65.129380489979,"East South Central","South","AL","Female","Alabama",1975,"Alabama"
"82",82,0,7,1,"Communicable",4.23857541108333,7.99614791043938,11.6355138020447,7.99131370221756,"East South Central","South","AL","Female","Alabama",1975,"Alabama"
"83",83,0,7,1,"Injuries",8.72778007049392,12.7022617996383,16.3933653195059,12.7251261696239,"East South Central","South","AL","Female","Alabama",1975,"Alabama"
"84",84,0,7,1,"Non-communicable",30.8009113834043,35.2192203107516,39.7233593340857,35.1989468485877,"East South Central","South","AL","Female","Alabama",1975,"Alabama"
"85",85,0,8,0,"All other causes",156.81818626277,170.340397571357,184.996081205105,170.274765977228,"East South Central","South","AL","Male","Alabama",1976,"Alabama"
"86",86,0,8,0,"Cancers",21.0133747148119,32.9350512349476,43.7172622175279,32.7918292460948,"East South Central","South","AL","Male","Alabama",1976,"Alabama"
"87",87,0,8,0,"Cardiovascular",-43.3712504673527,-18.5718656653481,8.44043903261985,-18.364383379683,"East South Central","South","AL","Male","Alabama",1976,"Alabama"
"88",88,0,8,0,"Communicable",9.59856647864805,16.7818971714168,24.0813008622333,16.8911088049227,"East South Central","South","AL","Male","Alabama",1976,"Alabama"
"89",89,0,8,0,"Injuries",83.679209976972,93.6337631778705,103.756030667735,93.7286046913761,"East South Central","South","AL","Male","Alabama",1976,"Alabama"
"90",90,0,8,0,"Non-communicable",-3.27208282352644,2.57184971997433,8.98234773915028,2.62332484547946,"East South Central","South","AL","Male","Alabama",1976,"Alabama"
"91",91,0,8,1,"All other causes",109.46894748079,118.895629453395,128.453458928486,118.886003444692,"East South Central","South","AL","Female","Alabama",1976,"Alabama"
"92",92,0,8,1,"Cancers",16.1200689257485,21.9433894275581,27.8854758969822,22.0066202256381,"East South Central","South","AL","Female","Alabama",1976,"Alabama"
"93",93,0,8,1,"Cardiovascular",48.5787535503002,68.1520900251153,86.372987192714,67.9880387218164,"East South Central","South","AL","Female","Alabama",1976,"Alabama"
"94",94,0,8,1,"Communicable",2.40118312833272,6.06829941184784,9.576768786785,6.01982884274316,"East South Central","South","AL","Female","Alabama",1976,"Alabama"
"95",95,0,8,1,"Injuries",8.77849820732372,12.2624355754916,15.9192997052142,12.247213025646,"East South Central","South","AL","Female","Alabama",1976,"Alabama"
"96",96,0,8,1,"Non-communicable",28.8775164342972,33.5698845011753,37.9774962042856,33.5825259580583,"East South Central","South","AL","Female","Alabama",1976,"Alabama"
"97",97,0,9,0,"All other causes",155.60937609734,168.433362642532,182.931037563826,168.814126099735,"East South Central","South","AL","Male","Alabama",1977,"Alabama"
"98",98,0,9,0,"Cancers",28.8886224373891,40.7948493264351,52.2616879409533,40.5871924614515,"East South Central","South","AL","Male","Alabama",1977,"Alabama"
"99",99,0,9,0,"Cardiovascular",-34.1951978533293,-8.42965595117795,15.8816583647502,-8.49666804164893,"East South Central","South","AL","Male","Alabama",1977,"Alabama"
"100",100,0,9,0,"Communicable",9.98023183454302,17.0448012250002,24.6497978520629,17.0556212113415,"East South Central","South","AL","Male","Alabama",1977,"Alabama"
"101",101,0,9,0,"Injuries",81.0004859746229,89.7544161406111,99.9047522966012,89.8984796832783,"East South Central","South","AL","Male","Alabama",1977,"Alabama"
"102",102,0,9,0,"Non-communicable",-4.57302629734977,1.85961966484886,8.14980301799711,1.81790542360889,"East South Central","South","AL","Male","Alabama",1977,"Alabama"
"103",103,0,9,1,"All other causes",105.682226874859,114.321813445216,123.781838798046,114.436126952047,"East South Central","South","AL","Female","Alabama",1977,"Alabama"
"104",104,0,9,1,"Cancers",17.4202024967147,23.429790719169,30.0406778453257,23.5252803609763,"East South Central","South","AL","Female","Alabama",1977,"Alabama"
"105",105,0,9,1,"Cardiovascular",54.4707904430271,71.9465951703773,90.2614838183184,71.94770482374,"East South Central","South","AL","Female","Alabama",1977,"Alabama"
"106",106,0,9,1,"Communicable",-0.115409767788973,3.56292934559157,7.06843175550159,3.56103532153124,"East South Central","South","AL","Female","Alabama",1977,"Alabama"
"107",107,0,9,1,"Injuries",7.61045568662486,10.983275521034,14.6089842158726,11.0263752105396,"East South Central","South","AL","Female","Alabama",1977,"Alabama"
"108",108,0,9,1,"Non-communicable",27.8847366214267,32.342224378137,36.6351500113907,32.3412237122576,"East South Central","South","AL","Female","Alabama",1977,"Alabama"
"109",109,0,10,0,"All other causes",151.682587833691,165.351301656003,178.937986294715,165.683768393097,"East South Central","South","AL","Male","Alabama",1978,"Alabama"
"110",110,0,10,0,"Cancers",37.9340654104651,49.5975969439899,61.7325662358171,49.7523208948267,"East South Central","South","AL","Male","Alabama",1978,"Alabama"
"111",111,0,10,0,"Cardiovascular",-25.1556146217477,1.73556036867893,24.6880782727312,1.65283875364742,"East South Central","South","AL","Male","Alabama",1978,"Alabama"
"112",112,0,10,0,"Communicable",4.82585345057145,11.9491866879272,19.5045025969395,12.0330722830754,"East South Central","South","AL","Male","Alabama",1978,"Alabama"
"113",113,0,10,0,"Injuries",73.9521936331802,83.7480026261294,92.4294014513808,83.6151234288722,"East South Central","South","AL","Male","Alabama",1978,"Alabama"
"114",114,0,10,0,"Non-communicable",-3.48157988164218,2.89790096475537,9.44117366710481,3.01430557791861,"East South Central","South","AL","Male","Alabama",1978,"Alabama"
"115",115,0,10,1,"All other causes",99.5550964363883,107.707514456513,117.063125386083,107.913300702796,"East South Central","South","AL","Female","Alabama",1978,"Alabama"
"116",116,0,10,1,"Cancers",18.3183779471041,25.1211561314322,31.5422863893106,25.0448389917408,"East South Central","South","AL","Female","Alabama",1978,"Alabama"
"117",117,0,10,1,"Cardiovascular",49.1258667033293,65.2572030452409,82.4752709222967,65.5511551817781,"East South Central","South","AL","Female","Alabama",1978,"Alabama"
"118",118,0,10,1,"Communicable",0.20525908254231,3.85633878095145,7.54365479767941,3.85443895511388,"East South Central","South","AL","Female","Alabama",1978,"Alabama"
"119",119,0,10,1,"Injuries",6.95797828812937,10.2995927690561,13.6634501339332,10.3072240766697,"East South Central","South","AL","Female","Alabama",1978,"Alabama"
"120",120,0,10,1,"Non-communicable",25.0995550178023,29.5984944317064,33.802170836004,29.608867357915,"East South Central","South","AL","Female","Alabama",1978,"Alabama"
"121",121,0,11,0,"All other causes",139.922413891583,153.138637657518,165.671039812705,153.156240985124,"East South Central","South","AL","Male","Alabama",1979,"Alabama"
"122",122,0,11,0,"Cancers",41.2973835734312,53.2108557283749,65.3608896720882,53.3443599593342,"East South Central","South","AL","Male","Alabama",1979,"Alabama"
"123",123,0,11,0,"Cardiovascular",-22.1030772784935,0.985901114256251,26.0061018543237,1.5579279085733,"East South Central","South","AL","Male","Alabama",1979,"Alabama"
"124",124,0,11,0,"Communicable",7.50340858457988,15.0771988341786,21.6287943985051,14.9137722324046,"East South Central","South","AL","Male","Alabama",1979,"Alabama"
"125",125,0,11,0,"Injuries",71.7393577738526,80.9469863873596,89.6332626228965,80.872645613962,"East South Central","South","AL","Male","Alabama",1979,"Alabama"
"126",126,0,11,0,"Non-communicable",-2.69568202897942,3.54131238754967,10.0781030750144,3.51895400852973,"East South Central","South","AL","Male","Alabama",1979,"Alabama"
"127",127,0,11,1,"All other causes",94.3941270539356,103.221515582288,111.813219095325,103.4016861453,"East South Central","South","AL","Female","Alabama",1979,"Alabama"
"128",128,0,11,1,"Cancers",19.4294204320766,25.7991309718681,32.2298799270854,25.84917059054,"East South Central","South","AL","Female","Alabama",1979,"Alabama"
"129",129,0,11,1,"Cardiovascular",45.0412448948745,62.5873172424154,79.525111143873,62.7949572818085,"East South Central","South","AL","Female","Alabama",1979,"Alabama"
"130",130,0,11,1,"Communicable",2.71980695798269,6.46871659291699,10.033879322807,6.41683974358231,"East South Central","South","AL","Female","Alabama",1979,"Alabama"
"131",131,0,11,1,"Injuries",6.5873208844271,9.79254695986733,13.0748588156727,9.8243252648738,"East South Central","South","AL","Female","Alabama",1979,"Alabama"
"132",132,0,11,1,"Non-communicable",23.5810929554384,27.7830770037663,32.2807587362869,27.8454211787172,"East South Central","South","AL","Female","Alabama",1979,"Alabama"
"133",133,0,12,0,"All other causes",138.172775466275,150.369771949194,164.066459354086,150.632085596032,"East South Central","South","AL","Male","Alabama",1980,"Alabama"
"134",134,0,12,0,"Cancers",44.8826848809121,57.1679747811266,69.6680005170805,57.3382721969615,"East South Central","South","AL","Male","Alabama",1980,"Alabama"
"135",135,0,12,0,"Cardiovascular",-10.3599102299587,12.7351869858441,37.5384877631806,12.775707000214,"East South Central","South","AL","Male","Alabama",1980,"Alabama"
"136",136,0,12,0,"Communicable",11.3784924597913,18.2887083752842,25.3829794064029,18.3052530576475,"East South Central","South","AL","Male","Alabama",1980,"Alabama"
"137",137,0,12,0,"Injuries",68.9141354220409,77.5852006895408,86.818359503877,77.7288170154105,"East South Central","South","AL","Male","Alabama",1980,"Alabama"
"138",138,0,12,0,"Non-communicable",-4.08325974739898,2.59592550034372,9.12926943286861,2.57026627130176,"East South Central","South","AL","Male","Alabama",1980,"Alabama"
"139",139,0,12,1,"All other causes",88.9947446677897,97.1848363982025,105.844945957452,97.3384650916798,"East South Central","South","AL","Female","Alabama",1980,"Alabama"
"140",140,0,12,1,"Cancers",17.3044309079381,23.9808825337164,29.9828817046381,23.9154935971871,"East South Central","South","AL","Female","Alabama",1980,"Alabama"
"141",141,0,12,1,"Cardiovascular",57.2204344288144,74.1580086801177,89.9147845642433,73.7731220310682,"East South Central","South","AL","Female","Alabama",1980,"Alabama"
"142",142,0,12,1,"Communicable",3.70155005506729,7.20375670682603,10.9251104081275,7.24731453415739,"East South Central","South","AL","Female","Alabama",1980,"Alabama"
"143",143,0,12,1,"Injuries",6.54316200913318,9.53075559135213,12.8705293245103,9.54138213419198,"East South Central","South","AL","Female","Alabama",1980,"Alabama"
"144",144,0,12,1,"Non-communicable",23.1182585839245,27.3392121154413,31.4723651625241,27.3313728704747,"East South Central","South","AL","Female","Alabama",1980,"Alabama"
"145",145,0,13,0,"All other causes",127.106971563596,139.643996992022,152.156382949289,139.654150149798,"East South Central","South","AL","Male","Alabama",1981,"Alabama"
"146",146,0,13,0,"Cancers",47.5584787074547,59.6227630968397,72.0215258111884,59.5959242233535,"East South Central","South","AL","Male","Alabama",1981,"Alabama"
"147",147,0,13,0,"Cardiovascular",-14.6843034163625,9.27344848578815,31.3299380285819,9.20626332071853,"East South Central","South","AL","Male","Alabama",1981,"Alabama"
"148",148,0,13,0,"Communicable",11.6097224579653,18.2784010827943,25.3964083355367,18.3368693368228,"East South Central","South","AL","Male","Alabama",1981,"Alabama"
"149",149,0,13,0,"Injuries",67.0462789785867,75.9925851096978,85.5177073087422,75.9975448314631,"East South Central","South","AL","Male","Alabama",1981,"Alabama"
"150",150,0,13,0,"Non-communicable",-7.71057531694294,-1.09422874303295,5.8817573666573,-0.995803266694309,"East South Central","South","AL","Male","Alabama",1981,"Alabama"
"151",151,0,13,1,"All other causes",80.0816710059986,88.4949490067589,97.1082025621416,88.494975043303,"East South Central","South","AL","Female","Alabama",1981,"Alabama"
"152",152,0,13,1,"Cancers",16.4896102883629,23.0782439217724,29.2351823547827,22.9460244104184,"East South Central","South","AL","Female","Alabama",1981,"Alabama"
"153",153,0,13,1,"Cardiovascular",60.1753130378634,76.8278241417192,94.3285122956973,76.9993525768012,"East South Central","South","AL","Female","Alabama",1981,"Alabama"
"154",154,0,13,1,"Communicable",3.63053105077052,7.04914131212053,10.5457966732032,7.00687030048544,"East South Central","South","AL","Female","Alabama",1981,"Alabama"
"155",155,0,13,1,"Injuries",5.25941886960368,8.34497304389801,11.4597744389195,8.36357416738992,"East South Central","South","AL","Female","Alabama",1981,"Alabama"
"156",156,0,13,1,"Non-communicable",20.9787686693658,25.2983129055529,29.6073415812336,25.2338124327689,"East South Central","South","AL","Female","Alabama",1981,"Alabama"
"157",157,0,14,0,"All other causes",113.624014558583,126.061479467052,138.026790705149,125.916940396503,"East South Central","South","AL","Male","Alabama",1982,"Alabama"
"158",158,0,14,0,"Cancers",53.1379684234956,65.6348624736778,77.730496332012,65.6046026952135,"East South Central","South","AL","Male","Alabama",1982,"Alabama"
"159",159,0,14,0,"Cardiovascular",8.9434932922783,30.5806562459555,54.6624320434778,31.0871913595446,"East South Central","South","AL","Male","Alabama",1982,"Alabama"
"160",160,0,14,0,"Communicable",9.28289055357394,15.933173347549,22.9855516790891,15.9450866425445,"East South Central","South","AL","Male","Alabama",1982,"Alabama"
"161",161,0,14,0,"Injuries",58.8249417305208,67.2264219125902,75.8107198978357,67.2235529516578,"East South Central","South","AL","Male","Alabama",1982,"Alabama"
"162",162,0,14,0,"Non-communicable",-7.91606554702364,-1.26404959761437,5.16078635782188,-1.41234852127571,"East South Central","South","AL","Male","Alabama",1982,"Alabama"
"163",163,0,14,1,"All other causes",72.6433977163684,80.2220888701201,87.3553911001572,80.1527949967675,"East South Central","South","AL","Female","Alabama",1982,"Alabama"
"164",164,0,14,1,"Cancers",15.9837368255264,22.2525505173223,28.1757641423129,22.2063092148678,"East South Central","South","AL","Female","Alabama",1982,"Alabama"
"165",165,0,14,1,"Cardiovascular",65.1870461272341,80.8253151465236,97.9038269115173,81.1996941594774,"East South Central","South","AL","Female","Alabama",1982,"Alabama"
"166",166,0,14,1,"Communicable",4.13592983074148,7.45603885154191,10.7802195613301,7.46896157191988,"East South Central","South","AL","Female","Alabama",1982,"Alabama"
"167",167,0,14,1,"Injuries",4.96650966970931,7.85591072044497,11.0850745657195,7.88861839289031,"East South Central","South","AL","Female","Alabama",1982,"Alabama"
"168",168,0,14,1,"Non-communicable",19.1899648641702,23.5555425525423,27.6432622532859,23.5167969317176,"East South Central","South","AL","Female","Alabama",1982,"Alabama"
"169",169,0,15,0,"All other causes",105.650973727013,116.095092146745,128.733438085048,116.255564530094,"East South Central","South","AL","Male","Alabama",1983,"Alabama"
"170",170,0,15,0,"Cancers",60.8075623395685,74.0589455758101,86.6211252582504,73.8605619403714,"East South Central","South","AL","Male","Alabama",1983,"Alabama"
"171",171,0,15,0,"Cardiovascular",32.5544579502879,55.7441197142348,79.9660412199154,56.0833715953828,"East South Central","South","AL","Male","Alabama",1983,"Alabama"
"172",172,0,15,0,"Communicable",7.95747891240602,14.9837158220141,22.0907456488055,14.8931663903584,"East South Central","South","AL","Male","Alabama",1983,"Alabama"
"173",173,0,15,0,"Injuries",52.6786896574398,60.8640592701055,69.0496057168819,60.9506136419624,"East South Central","South","AL","Male","Alabama",1983,"Alabama"
"174",174,0,15,0,"Non-communicable",-8.16345931498175,-1.74218581570773,5.06794112328955,-1.7196340177549,"East South Central","South","AL","Male","Alabama",1983,"Alabama"
"175",175,0,15,1,"All other causes",68.7168510131199,77.2912988114922,85.1769192610435,77.280601968094,"East South Central","South","AL","Female","Alabama",1983,"Alabama"
"176",176,0,15,1,"Cancers",15.7187414584688,22.3156049559763,28.6175535263484,22.1937016451403,"East South Central","South","AL","Female","Alabama",1983,"Alabama"
